rank,stars,forks,language,category,full_name,description,note,homepage,html_url,license,created_at,pushed_at,source
38,46939,10349,Python,multi-agent-framework,zhayujie/CowAgent,"Open-source super AI assistant & Agent Harness. Plans tasks, runs tools and skills, self-evolves with memory and knowledge. Multi-agent, multi-model, multi-channel. Lightweight, extensible, one-line install. (formerly chatgpt-on-wechat)",CowAgent,https://cowagent.ai,https://github.com/zhayujie/CowAgent,MIT,2022-08-07T08:33:41Z,2026-09-13T04:11:35Z,prev
39,43083,8945,TypeScript,workflow-platform,danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions,",LibreChat,https://librechat.ai/,https://github.com/danny-avila/LibreChat,MIT,2023-02-12T01:06:52Z,2026-09-13T08:41:55Z,prev
40,42479,2844,Rust,browser-computer-use,vercel-labs/agent-browser,Browser automation CLI for AI agents,Vercel agent-browser,https://agent-browser.dev,https://github.com/vercel-labs/agent-browser,Apache-2.0,2026-01-11T05:38:15Z,2026-09-13T03:32:06Z,prev
41,42204,7613,Python,multi-agent-framework,666ghj/BettaFish,微舆：人人可用的多Agent舆情分析助手，打破信息茧房，还原舆情原貌，预测未来走向，辅助决策！从0实现，不依赖任何框架。,微舆 multi-agent 舆情,https://deepwiki.com/666ghj/BettaFish,https://github.com/666ghj/BettaFish,GPL-2.0,2024-07-01T13:11:38Z,2026-09-04T09:47:38Z,prev
42,42149,5916,Python,multi-agent-framework,agno-agi/agno,"Build, run, and manage agent platforms.",Agno,https://docs.agno.com,https://github.com/agno-agi/agno,Apache-2.0,2022-05-04T15:23:02Z,2026-09-13T09:24:43Z,prev
43,41548,7018,Python,multi-agent-framework,langchain-ai/langgraph,Build resilient agents.,LangGraph,https://docs.langchain.com/oss/python/langgraph/,https://github.com/langchain-ai/langgraph,MIT,2023-08-09T18:33:12Z,2026-09-13T00:54:53Z,prev
44,40415,2914,Python,workflow-platform,AstrBotDevs/AstrBot,"AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨",AstrBot,https://astrbot.app,https://github.com/AstrBotDevs/AstrBot,AGPL-3.0,2022-12-08T13:27:46Z,2026-09-12T07:30:17Z,prev
45,40000,,Python,agent-infrastructure,run-llama/llama_index,LlamaIndex,LlamaIndex,,https://github.com/run-llama/llama_index,,,,prev
46,38941,3937,TypeScript,browser-computer-use,bytedance/UI-TARS-desktop,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,UI-TARS Desktop,https://agent-tars.com,https://github.com/bytedance/UI-TARS-desktop,Apache-2.0,2025-01-19T09:04:43Z,2026-09-11T03:56:20Z,prev
47,38631,6267,Python,workflow-platform,chatchat-space/Langchain-Chatchat,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",Langchain-Chatchat,,https://github.com/chatchat-space/Langchain-Chatchat,Apache-2.0,2023-03-31T12:12:45Z,2025-11-10T09:27:42Z,prev
48,38000,,Python,coding-agent,Aider-AI/aider,AI pair programming in your terminal,Aider — AI pair programming CLI,https://aider.chat,https://github.com/Aider-AI/aider,,,,snapshot
49,37296,2476,Python,autonomous-agent,khoj-ai/khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",Khoj — self-hosted AI second brain,https://khoj.dev,https://github.com/khoj-ai/khoj,AGPL-3.0,2021-08-16T01:48:44Z,2026-08-02T01:55:40Z,prev
50,36297,9254,TypeScript,autonomous-agent,reworkd/AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.",AgentGPT — browser autonomous agents,https://agentgpt.reworkd.ai,https://github.com/reworkd/AgentGPT,GPL-3.0,2023-04-07T02:29:19Z,2025-04-29T01:19:32Z,prev
51,35886,5375,TypeScript,coding-agent,continuedev/continue,open-source coding agent,Continue — open-source coding agent,https://continue.dev,https://github.com/continuedev/continue,Apache-2.0,2023-05-24T03:39:39Z,2026-09-13T07:28:23Z,prev
52,34524,3762,TypeScript,agent-infrastructure,langfuse/langfuse,"🪢 Open source agent evals & observability: Trace, evaluate, and improve LLM applications with one open platform.",Langfuse — agent observability,https://langfuse.com,https://github.com/langfuse/langfuse,NOASSERTION,2023-05-18T17:47:09Z,2026-09-13T04:46:52Z,prev
53,32000,,Python,coding-agent,Pythagora-io/gpt-pilot,AI software developer,gpt-pilot — AI software developer,,https://github.com/Pythagora-io/gpt-pilot,,,,snapshot
54,31506,,Python,multi-agent-framework,modelscope/agentscope,AgentScope,AgentScope,,https://github.com/modelscope/agentscope,,,,prev
55,30598,4650,Python,autonomous-agent,feder-cr/AIHawk,"Open-source AI browser agent for web automation, undetected by anti-bot systems: a web browsing agent on a stealth Firefox that is not flagged as a bot, not blocked, and does not trigger captchas. Plain-English tasks, computer-use agent, browser MCP for Claude Code and Gemini CLI",AIHawk — browser automation agent,https://github.com/feder-cr/AIHawk/wiki,https://github.com/feder-cr/AIHawk,MIT,2024-08-04T12:15:06Z,2026-09-13T08:39:08Z,prev
56,29636,7311,TypeScript,workflow-platform,labring/FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the ",FastGPT,https://fastgpt.io,https://github.com/labring/FastGPT,NOASSERTION,2023-02-23T16:53:25Z,2026-09-12T13:55:58Z,prev
57,29423,3997,Python,research-agent,assafelovic/gpt-researcher,An autonomous agent that conducts deep research on any data using any LLM providers,GPT Researcher,https://gptr.dev,https://github.com/assafelovic/gpt-researcher,Apache-2.0,2023-05-12T10:33:54Z,2026-08-27T19:34:56Z,prev
58,29396,4718,Python,multi-agent-framework,openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows",OpenAI Agents SDK,https://openai.github.io/openai-agents-python/,https://github.com/openai/openai-agents-python,MIT,2025-03-11T03:42:36Z,2026-09-12T04:40:28Z,prev
59,29354,4112,Python,multi-agent-framework,langchain-ai/deepagents,The batteries-included agent harness.,deepagents,https://docs.langchain.com/deepagents,https://github.com/langchain-ai/deepagents,MIT,2025-07-27T23:07:53Z,2026-09-13T08:25:39Z,prev
60,28000,,Python,research-agent,Stanford-oval/storm,STORM — LLM system for research articles,STORM,https://storm-project.stanford.edu,https://github.com/Stanford-oval/storm,,,,snapshot
61,26000,,Python,multi-agent-framework,OpenBMB/ChatDev,Communicative Agents for Software Development,ChatDev,,https://github.com/OpenBMB/ChatDev,,,,snapshot
62,25000,,Python,coding-agent,smol-ai/developer,smol developer,smol developer,,https://github.com/smol-ai/developer,,,,prev
63,25000,,Rust,coding-agent,block/goose,"Open source, extensible AI agent",Block Goose — extensible AI agent,https://block.github.io/goose,https://github.com/block/goose,,,,prev
64,25000,,Rust,coding-agent,warpdotdev/warp,Agentic development environment,Warp — agentic development environment,https://warp.dev,https://github.com/warpdotdev/warp,,,,prev
65,25000,,Python,multi-agent-framework,ag2ai/ag2,AG2 (formerly AutoGen),AG2 (ex-AutoGen),,https://github.com/ag2ai/ag2,,,,prev
66,25000,,Python,multi-agent-framework,microsoft/semantic-kernel,Semantic Kernel,Semantic Kernel,,https://github.com/microsoft/semantic-kernel,,,,prev
67,22000,,TypeScript,coding-agent,RooCodeInc/Roo-Code,Roo Code coding agent,Roo Code — coding agent,,https://github.com/RooCodeInc/Roo-Code,,,,snapshot
68,20000,,Python,coding-agent,stitionai/devika,Devika,Devika — AI software engineer,,https://github.com/stitionai/devika,,,,prev
69,20000,,Python,research-agent,joonspk-research/generative-agents,Generative Agents,Generative Agents (Stanford),,https://github.com/joonspk-research/generative-agents,,,,prev
70,18000,,Python,multi-agent-framework,huggingface/smolagents,smolagents,smolagents,,https://github.com/huggingface/smolagents,,,,prev
71,18000,,Python,agent-infrastructure,deepset-ai/haystack,Haystack,Haystack,,https://github.com/deepset-ai/haystack,,,,prev
72,16000,,Python,coding-agent,SWE-agent/SWE-agent,Agent for GitHub issues / SWE-bench,SWE-agent (org),,https://github.com/SWE-agent/SWE-agent,,,,snapshot
73,16000,,Python,autonomous-agent,TransformerOptimus/SuperAGI,SuperAGI autonomous agent framework,SuperAGI,,https://github.com/TransformerOptimus/SuperAGI,,,,snapshot
74,16000,,TypeScript,agent-infrastructure,ComposioHQ/composio,Tools / auth for AI agents,Composio — tools,,https://github.com/ComposioHQ/composio,,,,snapshot
75,15000,,Python,autonomous-agent,frdel/agent-zero,Agent Zero,Agent Zero,,https://github.com/frdel/agent-zero,,,,prev
76,12000,,Python,multi-agent-framework,google/adk-python,Agent Development Kit,Google ADK,,https://github.com/google/adk-python,,,,prev
77,12000,,Python,workflow-platform,microsoft/PromptFlow,Prompt flow tooling,PromptFlow,,https://github.com/microsoft/PromptFlow,,,,snapshot
78,10000,,Python,multi-agent-framework,camel-ai/camel,CAMEL agents,CAMEL,,https://github.com/camel-ai/camel,,,,prev
79,10000,,Python,agent-infrastructure,modelcontextprotocol/python-sdk,MCP Python SDK,MCP Python SDK,,https://github.com/modelcontextprotocol/python-sdk,,,,prev
80,8000,,Python,multi-agent-framework,microsoft/agent-framework,Microsoft Agent Framework,Microsoft Agent Framework,,https://github.com/microsoft/agent-framework,,,,prev
81,8000,,TypeScript,agent-infrastructure,e2b-dev/e2b,Secure sandboxes for AI agents,e2b — sandboxes,,https://github.com/e2b-dev/e2b,,,,prev
82,8000,,TypeScript,agent-infrastructure,modelcontextprotocol/typescript-sdk,MCP TypeScript SDK,MCP TypeScript SDK,,https://github.com/modelcontextprotocol/typescript-sdk,,,,prev
83,8000,,TypeScript,agent-infrastructure,jina-ai/reader,Jina Reader,Jina Reader,,https://github.com/jina-ai/reader,,,,prev
84,8000,,TypeScript,coding-agent,anysphere/cursor-cli,Cursor CLI,Cursor CLI,,https://github.com/anysphere/cursor-cli,,,,prev
85,6000,,Python,multi-agent-framework,InternLM/lagent,Lagent — agent framework from InternLM,Lagent,,https://github.com/InternLM/lagent,,,,snapshot
86,6000,,Python,agent-infrastructure,AgentOps-AI/agentops,AgentOps,AgentOps,,https://github.com/AgentOps-AI/agentops,,,,snapshot
87,5500,,Python,multi-agent-framework,OpenBMB/AgentVerse,AgentVerse,AgentVerse,,https://github.com/OpenBMB/AgentVerse,,,,snapshot
88,5000,,Python,multi-agent-framework,kyegomez/swarms,Swarms of agents,Swarms,,https://github.com/kyegomez/swarms,,,,prev
89,5000,,TypeScript,multi-agent-framework,openai/openai-agents-js,OpenAI Agents JS,OpenAI Agents JS,,https://github.com/openai/openai-agents-js,,,,prev
90,5000,,Python,research-agent,langchain-ai/open_deep_research,Open Deep Research,Open Deep Research,,https://github.com/langchain-ai/open_deep_research,,,,prev
91,5000,,Python,agent-infrastructure,NVIDIA/NeMo-Guardrails,NeMo Guardrails,NeMo Guardrails,,https://github.com/NVIDIA/NeMo-Guardrails,,,,snapshot
92,4500,,Python,multi-agent-framework,Langroid/langroid,Multi-agent LLM framework,Langroid,,https://github.com/Langroid/langroid,,,,snapshot
93,3500,,Python,browser-computer-use,OSU-NLP-Group/Mind2Web,Mind2Web web agent benchmark,Mind2Web,,https://github.com/OSU-NLP-Group/Mind2Web,,,,snapshot
94,3000,,Python,agent-infrastructure,traceloop/openllmetry,OpenLLMetry,OpenLLMetry,,https://github.com/traceloop/openllmetry,,,,prev
95,3000,,Python,agent-benchmark,OpenBMB/ToolBench,ToolBench,ToolBench,,https://github.com/OpenBMB/ToolBench,,,,snapshot
96,2000,,C#,multi-agent-framework,microsoft/agent-framework-dotnet,Agent Framework .NET,Agent Framework .NET,,https://github.com/microsoft/agent-framework-dotnet,,,,prev
97,2000,,Python,browser-computer-use,web-arena-x/webarena,WebArena,WebArena,,https://github.com/web-arena-x/webarena,,,,prev
98,2000,,Python,agent-benchmark,OpenBMB/AgentBench,AgentBench,AgentBench,,https://github.com/OpenBMB/AgentBench,,,,snapshot
